,reads.in,reads.out
S1_HistB_1.fastq.gz,6429,4744
S10_HistB_1.fastq.gz,9081,6703
S100_HistB_1.fastq.gz,585,218
S101_HistB_1.fastq.gz,9,1
S102_HistB_1.fastq.gz,2,1
S103_HistB_1.fastq.gz,23485,15411
S104_HistB_1.fastq.gz,18122,11970
S105_HistB_1.fastq.gz,6,2
S106_HistB_1.fastq.gz,19774,12676
S107_HistB_1.fastq.gz,13376,8877
S108_HistB_1.fastq.gz,17063,11132
S109_HistB_1.fastq.gz,1311,985
S11_HistB_1.fastq.gz,4,1
S110_HistB_1.fastq.gz,13,7
S111_HistB_1.fastq.gz,21423,14557
S112_HistB_1.fastq.gz,8,1
S113_HistB_1.fastq.gz,16942,11997
S114_HistB_1.fastq.gz,40,30
S115_HistB_1.fastq.gz,24,17
S116_HistB_1.fastq.gz,33,23
S117_HistB_1.fastq.gz,40,32
S118_HistB_1.fastq.gz,9790,6269
S119_HistB_1.fastq.gz,45,29
S12_HistB_1.fastq.gz,20235,12244
S120_HistB_1.fastq.gz,54,34
S121_HistB_1.fastq.gz,20795,13523
S122_HistB_1.fastq.gz,19110,12452
S123_HistB_1.fastq.gz,12469,8529
S124_HistB_1.fastq.gz,19,14
S125_HistB_1.fastq.gz,20,5
S126_HistB_1.fastq.gz,21987,16562
S127_HistB_1.fastq.gz,7,2
S128_HistB_1.fastq.gz,11,4
S129_HistB_1.fastq.gz,30406,20703
S13_HistB_1.fastq.gz,22012,15030
S130_HistB_1.fastq.gz,11447,6578
S131_HistB_1.fastq.gz,30875,19740
S132_HistB_1.fastq.gz,7044,4539
S133_HistB_1.fastq.gz,20127,13078
S134_HistB_1.fastq.gz,22004,15941
S135_HistB_1.fastq.gz,19307,13725
S136_HistB_1.fastq.gz,27316,18274
S137_HistB_1.fastq.gz,11795,7424
S138_HistB_1.fastq.gz,29530,19225
S139_HistB_1.fastq.gz,39613,26385
S14_HistB_1.fastq.gz,12,6
S140_HistB_1.fastq.gz,19758,12541
S141_HistB_1.fastq.gz,14849,9529
S142_HistB_1.fastq.gz,17863,5100
S143_HistB_1.fastq.gz,28957,7083
S144_HistB_1.fastq.gz,3,2
S145_HistB_1.fastq.gz,17944,11507
S146_HistB_1.fastq.gz,39433,24457
S147_HistB_1.fastq.gz,24572,16068
S148_HistB_1.fastq.gz,21059,12846
S149_HistB_1.fastq.gz,32296,19361
S15_HistB_1.fastq.gz,9807,7310
S150_HistB_1.fastq.gz,3,0
S151_HistB_1.fastq.gz,19328,12752
S152_HistB_1.fastq.gz,18567,12528
S153_HistB_1.fastq.gz,22825,15801
S154_HistB_1.fastq.gz,14815,10654
S155_HistB_1.fastq.gz,20616,15086
S156_HistB_1.fastq.gz,13201,9356
S157_HistB_1.fastq.gz,5876,4307
S158_HistB_1.fastq.gz,23374,15807
S159_HistB_1.fastq.gz,5,3
S16_HistB_1.fastq.gz,18460,12990
S160_HistB_1.fastq.gz,26701,17131
S161_HistB_1.fastq.gz,14,5
S162_HistB_1.fastq.gz,5,1
S163_HistB_1.fastq.gz,12319,8400
S164_HistB_1.fastq.gz,7,3
S165_HistB_1.fastq.gz,19899,13856
S166_HistB_1.fastq.gz,18657,13838
S167_HistB_1.fastq.gz,12638,9530
S168_HistB_1.fastq.gz,5,0
S169_HistB_1.fastq.gz,15507,11495
S17_HistB_1.fastq.gz,13233,5465
S170_HistB_1.fastq.gz,34768,24112
S171_HistB_1.fastq.gz,16,9
S172_HistB_1.fastq.gz,41651,26952
S173_HistB_1.fastq.gz,8,3
S174_HistB_1.fastq.gz,12798,6969
S175_HistB_1.fastq.gz,1,0
S176_HistB_1.fastq.gz,1,0
S177_HistB_1.fastq.gz,2,1
S178_HistB_1.fastq.gz,11378,7401
S179_HistB_1.fastq.gz,7931,1641
S18_HistB_1.fastq.gz,22471,14431
S180_HistB_1.fastq.gz,11427,8340
S181_HistB_1.fastq.gz,7433,4659
S182_HistB_1.fastq.gz,6797,4604
S183_HistB_1.fastq.gz,5,3
S184_HistB_1.fastq.gz,11636,7518
S185_HistB_1.fastq.gz,1,0
S186_HistB_1.fastq.gz,10951,7033
S187_HistB_1.fastq.gz,16890,9254
S188_HistB_1.fastq.gz,11003,7310
S189_HistB_1.fastq.gz,10705,6292
S19_HistB_1.fastq.gz,5,4
S190_HistB_1.fastq.gz,10676,7001
S191_HistB_1.fastq.gz,7,1
S192_HistB_1.fastq.gz,6,4
S193_HistB_1.fastq.gz,18031,12049
S194_HistB_1.fastq.gz,10474,7245
S195_HistB_1.fastq.gz,7441,4478
S196_HistB_1.fastq.gz,2,1
S197_HistB_1.fastq.gz,3949,2769
S198_HistB_1.fastq.gz,13542,8897
S199_HistB_1.fastq.gz,7,2
S2_HistB_1.fastq.gz,12,6
S20_HistB_1.fastq.gz,17561,11680
S200_HistB_1.fastq.gz,3,2
S201_HistB_1.fastq.gz,12882,6237
S202_HistB_1.fastq.gz,12986,7482
S203_HistB_1.fastq.gz,4396,3356
S204_HistB_1.fastq.gz,20401,14045
S205_HistB_1.fastq.gz,4,2
S206_HistB_1.fastq.gz,13741,9237
S207_HistB_1.fastq.gz,4,2
S208_HistB_1.fastq.gz,11100,6354
S209_HistB_1.fastq.gz,10,7
S21_HistB_1.fastq.gz,16151,10616
S210_HistB_1.fastq.gz,8191,5489
S211_HistB_1.fastq.gz,9452,6969
S212_HistB_1.fastq.gz,13305,8899
S213_HistB_1.fastq.gz,5,2
S214_HistB_1.fastq.gz,11705,7179
S215_HistB_1.fastq.gz,5,3
S216_HistB_1.fastq.gz,10893,6380
S217_HistB_1.fastq.gz,8,4
S218_HistB_1.fastq.gz,24994,17016
S219_HistB_1.fastq.gz,5941,4112
S22_HistB_1.fastq.gz,5,1
S220_HistB_1.fastq.gz,11192,7999
S221_HistB_1.fastq.gz,26810,16471
S222_HistB_1.fastq.gz,12141,7879
S223_HistB_1.fastq.gz,23566,15580
S224_HistB_1.fastq.gz,8750,5879
S225_HistB_1.fastq.gz,11282,7003
S226_HistB_1.fastq.gz,17816,12364
S227_HistB_1.fastq.gz,23082,15228
S228_HistB_1.fastq.gz,6,3
S229_HistB_1.fastq.gz,1,1
S23_HistB_1.fastq.gz,17448,9757
S230_HistB_1.fastq.gz,16566,11523
S231_HistB_1.fastq.gz,18934,14131
S232_HistB_1.fastq.gz,21234,14631
S233_HistB_1.fastq.gz,4714,3453
S234_HistB_1.fastq.gz,10598,7978
S235_HistB_1.fastq.gz,23460,16475
S236_HistB_1.fastq.gz,4,1
S237_HistB_1.fastq.gz,582,407
S238_HistB_1.fastq.gz,3745,2650
S239_HistB_1.fastq.gz,8772,6519
S24_HistB_1.fastq.gz,15983,9894
S240_HistB_1.fastq.gz,6090,4631
S241_HistB_1.fastq.gz,9313,6136
S242_HistB_1.fastq.gz,15716,10550
S243_HistB_1.fastq.gz,14901,9636
S244_HistB_1.fastq.gz,28860,21724
S245_HistB_1.fastq.gz,14440,10412
S246_HistB_1.fastq.gz,2915,2075
S247_HistB_1.fastq.gz,12575,8673
S248_HistB_1.fastq.gz,11301,7725
S249_HistB_1.fastq.gz,6,1
S25_HistB_1.fastq.gz,29048,19905
S250_HistB_1.fastq.gz,47,13
S251_HistB_1.fastq.gz,10970,7753
S252_HistB_1.fastq.gz,2,1
S253_HistB_1.fastq.gz,6,2
S254_HistB_1.fastq.gz,21250,14063
S255_HistB_1.fastq.gz,10412,7283
S256_HistB_1.fastq.gz,22578,16663
S257_HistB_1.fastq.gz,10649,7568
S258_HistB_1.fastq.gz,6,2
S259_HistB_1.fastq.gz,12,6
S26_HistB_1.fastq.gz,21851,16611
S260_HistB_1.fastq.gz,6134,4573
S261_HistB_1.fastq.gz,19067,12484
S262_HistB_1.fastq.gz,19275,12436
S263_HistB_1.fastq.gz,0,0
S264_HistB_1.fastq.gz,10492,7172
S265_HistB_1.fastq.gz,15544,10722
S266_HistB_1.fastq.gz,14977,10470
S267_HistB_1.fastq.gz,16679,12359
S268_HistB_1.fastq.gz,15065,10873
S269_HistB_1.fastq.gz,23226,14689
S27_HistB_1.fastq.gz,17704,11767
S270_HistB_1.fastq.gz,15376,9978
S271_HistB_1.fastq.gz,12955,9016
S272_HistB_1.fastq.gz,21034,13804
S273_HistB_1.fastq.gz,10,0
S274_HistB_1.fastq.gz,28730,18292
S275_HistB_1.fastq.gz,10764,3852
S276_HistB_1.fastq.gz,9406,6060
S277_HistB_1.fastq.gz,21249,13282
S278_HistB_1.fastq.gz,18176,12256
S279_HistB_1.fastq.gz,9,6
S28_HistB_1.fastq.gz,23538,16038
S280_HistB_1.fastq.gz,22386,9357
S281_HistB_1.fastq.gz,23558,16185
S282_HistB_1.fastq.gz,18305,12296
S283_HistB_1.fastq.gz,7,5
S284_HistB_1.fastq.gz,8975,4847
S285_HistB_1.fastq.gz,17417,10993
S286_HistB_1.fastq.gz,31770,15396
S287_HistB_1.fastq.gz,9820,6395
S288_HistB_1.fastq.gz,4,3
S289_HistB_1.fastq.gz,13033,8051
S29_HistB_1.fastq.gz,18958,12699
S290_HistB_1.fastq.gz,8,2
S291_HistB_1.fastq.gz,4,3
S292_HistB_1.fastq.gz,17,10
S293_HistB_1.fastq.gz,13983,9383
S294_HistB_1.fastq.gz,17326,13024
S295_HistB_1.fastq.gz,19322,13048
S296_HistB_1.fastq.gz,8,4
S297_HistB_1.fastq.gz,14200,9064
S298_HistB_1.fastq.gz,31497,21038
S299_HistB_1.fastq.gz,9,5
S3_HistB_1.fastq.gz,10492,5390
S30_HistB_1.fastq.gz,31914,21365
S300_HistB_1.fastq.gz,19838,14748
S301_HistB_1.fastq.gz,11,4
S302_HistB_1.fastq.gz,18828,13002
S303_HistB_1.fastq.gz,15179,11128
S304_HistB_1.fastq.gz,6396,4814
S305_HistB_1.fastq.gz,17460,12026
